lexeme_id	Orthography	Lexical entry	Glossing label	Perfective, Gender 3	Imperfective, Gender 3	Infinitive, Gender 3	Imperative, Gender 3	Prohibitive, Gender 3
v1		ápcur	measure	ápcur	awrácura	apcus	apca	amawruc
v2		ábgɨr	INSIDE-stay	ábgɨr	owɨlgara	abgas	abga	amawlɨg
v3		ábʁur	INSIDE-shift	ábʁur	oˁwʁura	owʁus	owʁa	omowubʁ ~ omobʁ
v4		áčʼipxɨr	PV-squeeze_in	áčʼipxɨr	ačʼwílxara	ačʼipxas	ačʼipxa	ačʼmelwix
v5		áčʼipqɨr	PV-stuck	áčʼipqɨr	ačʼwílqara	ačʼipqas	ačʼipqa	ačʼmewliq
v6		ápquˁr	PV-dig	ápquˁr	awráqʷaˁra	ápqʷaˁs	aˁpqʷa	amáˁwruqʷ
v7		hawársɨr ~ hawárcɨr	PV-search_for	hawársɨr ~ hawárcɨr	hawárcara	háwarcas	háwarca	homówɨrc
v8		aʁówʁur	PV-carve_circles	aʁówʁur	aʁábʁura	aʁówʁus	aʁówʁʷa	aʁmábʁ
v9		awálkʼɨr	PV-be_lame	awálkʼɨr	awálkʼara	awalkʼas	awalkʼa	amawlɨkʼ
v10		áwɨr	INSIDE-do	áwɨr	áwara	awas	awa ~ awaʔ ~ owʔa	amawaʔ
v11		biʔir	pull	biʔir	beʔera	beʔes	beʔe	mebiʔ
v12		wáka (IMP)	bring.IMP	NO FORM	NO FORM	NO FORM	wáka	NO FORM
v13		čʼipxɨr	PV-attack	čʼipxɨr	čʼiwirxara	čʼiwirxas ~ čʼipxas	čʼipxa	čʼimewrɨx
v14		c’ipq’ɨr	PV-shudder	c’ipq’ɨr	c’iwriq’ara	c’ipq’as	c’ipq’a	c’imewriqʼ
v15		éwčʼira	PV-chew	éwčʼira	éwičʼera	ewčʼes ~ éwičʼes	éwičʼe	eméwičʼ
v16		eʁéwčʼur	INSIDE-OUT-move	eʁéwčʼur	oˁʁówʁura ~ aˁʁábʁura	eʁewčʼus	eʁéwčʼeʔ ~ éʁwičʼ	oˤʁmóˤwuʁ ~ eʁmébčʼ
v17		eʁípxur	INSIDE-OUT-fall	eʁípxur	eʁwípxura	eʁípxus	eʁépx	ʁimépx
v18		eʁwíjir	INSIDE-OUT-let	eʁwíjir	aʁwɨ́χara	eʁwíjis	eʁwíja ~ егъви́й	оӀгъмовыгъ ~ агъмовыгъ
v19		éwčʼur	INSIDE-move	éwčʼur	óˤwʁura ~ áˤbʁura ~ ébčʼura	éwčʼus	ewíčʼ	amóˤwuʁ ~ aˤmábʁ
v20		gébgɨr	UNDER-stay	gébgɨr	gewílgar	gébgas	gébga	gemewlig
v21		géptɨr	PV-take_pet	géptɨr	gewiltara	geptasɨ	geptaʔ	gemewlɨt ~ gemewrɨt
v22		geʁewčʼur	UNDER-OUT-move	geʁewčʼur	geʁebčʼur	geʁewčʼus	geʁwičʼa	geʁmewričʼ ~ geʁmewručʼ
v23		geʁipxur	UNDER-OUT-fall	geʁipxur	geʁwipxura	geʁipxusɨ	geʁipxʷa	geʁmewipxʷ
v24		geʁiwxir	PV-be_silent	geʁiwxir	geʁiwxera	geʁiwxis	geʁiwxe	geʁmewrix
v25		geʁɨp’ir	UNDER-OUT-pull	geʁɨp’ir	geʁʷilera	geʁip’es	geʁip’e	geʁmelwiʔ
v26		gič’erij	fear.v	gič’erij	gič’era	NO DATA	NO DATA	NO DATA
v27		giwčir	UNDER-hold	giwčir	gidibčira (HPL)	giwčes	giwči	gimedibč (HPL)
v28		giwiqʼɨr	PV-understand	giwiqʼɨr	giwirqʼara	giwɨqʼas	giwɨqʼa	gimerwrɨqʼ
v29		giwχɨˤr	UNDER-hit	giwχɨˤr	giwɨrχˁɨra	giwχˤɨs	giwχaˁ	gimawrɨˁχ
v30		giwxir	UNDER-put	giwxir	giwilxera	giwxis	giwxʲa	gimewlixʲ
v31		gʲaʁač’ipχɨr	PV-slide	gʲaʁač’ipχɨr	gʲaʁačʼwɨlχara	gʲaʁačʼipχas	gʲaʁač’ipχa	gʲaʁmelʲwičʼ
v32		gʲowʁur	UNDER-shift	gʲowʁur	gʲabʁura	gʲowʁus	gʲowʁa	gʲamabʁu
v33		gʲówɢɨr	PV-look	gʲówɢɨr	gʲowaɢara ~ gʲówɨrɢara	gʲówɢas	gʲówɢa	gʲamáwlɨɢ+ ~ gʲomówɨrɢ
v34		ɢápχɨr	PV-chop	ɢápχɨr	ɢawráχara	ɢápχas	ɢápχa	ɢamáwrɨχ
v35		ɢípkur	PV-knead	ɢípkur	ɢiwrǘkara	ɢípkʷas	ɢípkʷa	ɢiméwrükʷ
v36		háptʼur	cut	háptʼur	warátʼura	hábtʼus	hábtʼʷa	mówrutʼ
v37		hápχɨˁr	leave	hápχɨˁr	NO FORM	quˁwʁuˁs	wɨ́rɨχ	máˁwuʁ ~ móˁwuʁ
v38		hiwígɨr	PV-make_go_out	hiwígɨr	hiwírgara	hiwígas	hiwíga	himéwrig
v39		hɨwɨ́r	give	hɨwɨ́r	wɨ́lcʼar ~ hɨ́lcʼar ~ hɨwɨ́lcʼar = Ӏ, 4	hɨwɨ́s	wáka ~ wíjaʔ	mówlɨcʼ ~ máwlɨcʼ
v40		húbgur	slauther	húbgur	wurúgar	húbgas	húbga	máwrug ~ mówrug
v41		húbqʼur	crumble	húbqʼur	wurúqʼara	húbqʼas	húbqʼʷa	máwruqʼ
v42		húpxur	burn	húpxur	wurxʷara	húpxʷas	hupxa ~ hupxʷa	mawurx ~ mawrux
v43		ípxur	INSIDE-fall	ípxur	iwírxura	ípxus	ípxʷa	imépxʷ
v44		ípt’ɨr	INSIDE-tie	ípt’ɨr	iwílt’ara	ípt’as	ípt’a	iméwrɨtʼ
v45		íwxir	INSIDE-put	íwxir	iwílxera	íwxis	íwxʲa ~ íwxe	iméwlixʲ
v46		jíbkʼur	enclose	jíbkʼur	wiríkʼʷara ~ jiwírkʼʷara	jíbkʼʷas	jibkʼʷa	méwrikʼʷ ~ méwrükʼ
v47		jíbqʼɨr	come	jíbqʼɨr	wurúʔura	wɨ́q’as	wɨ́qʼa	máwuˁʁ
v48		jíbʁɨr	wash	jíbʁɨr	wiríʁara	jíbʁas	jíbʁa	méwrɨʁ
v49		jíbtʼɨr	tie	jíbtʼɨr	wirítʼara	jíbtʼas	jíbtʼa	méwitʼ
v50		jiwígɨra ~ hiwígɨra	push	jiwígɨra ~ hiwígɨra	jiwírgara ~ hiwírgara	гьиви́гас	гьиви́га	гьме́вриг
v51		jiwíq’ɨra ~ hiwíq’ɨra	ripen	jiwíq’ɨra ~ hiwíq’ɨra	jiwírq’ara ~ hiwírq’ara	гьиви́кьас	гьиви́кьа	гьме́врикь
v52		jíˁwχɨˁr	hit	jíˁwχɨˁr	wɨrɨ́χaˁr	jíˁwχɨˁs	jɨ́ˁwχa ~ йы́Ӏвх	máˁwrɨχ ~ ма́врыӀх
v53		keqléwčʼur	SURF-RE-OUT-move	keqléwčʼur	кехълебчӀура ~ кʼахълʼаӀбгъура	кехъле́вчӀус	кехъви́чӀ	кехъме́влуьчӀ
v54		keqlíp’ir	SURF-RE-OUT-pull	keqlíp’ir	keqlíwilera	keqlíp’es	keqlíp’e	keqlemewliʔ
v55		kewírkɨr	PV-be_late	kewírkɨr	kewirkara	kewirkas	kewirka	kemewrɨk
v56		keʁéwčʼur	SURF-OUT-move	keʁéwčʼur	keʁébčʼura	keʁewčʼus	keʁwič’	keʁméwč’
v57		keʁwíjir	SURF-OUT-let	keʁwíjir	kʲaʁwɨχara	keʁwijis	keʁwi	kʲaʁmowɨχ ~ kʲaʁmawɨχ
v58		keʁípʼir	PV-choose	keʁípʼir	keʁʷilera	keʁipʼes	keʁip’e	keʁmewliʔ ~ keʁmewriʔ
v59		keʁowčir	SURF-OUT-hold	keʁowčir	kʲɐʁʷopčira	kʲaʁowčis	kʲaʁówč	kʲaʁmówrič
v60		kip’t’ɨr	SURF-tie	kip’t’ɨr	kiwilt’ara	kip’t’as	kip’ta	kemewlit’
v61		kipxur	SURF-fall	kipxur	kiwipxura	kipxus	kipxʷa	kimepxʷ
v62		ḱičibqɨr	PV-stick1	ḱičibqɨr	kičwilqara	kičibqas	kičébqa	kičméwrɨk
v63		kíˁwɨˁχɨˁr	SURF-hit1	kíˁwɨˁχɨˁr	kiˁwɨ́ˁrχaˁra	kíˁwɨˁχaˁs	kíˁwɨˁχaˁ	kˁimárwˁɨχ ~ kˁimáwrˁɨχ
v64		kíwɨq’ɨr	SURF-come	kíwɨq’ɨr	kiwírq’ara	kiwíq’as	kíwiq’a	kimérwiq’
v65		kiwirxara ~ kiwírxɨra (IPFV)	PV-beg	NO DATA	kiwirxara ~ kiwírxɨra	kiwirxas	kiwirxa	kimewrix
v66		kiʁípxur ~ keʁípxur	SURF-OUT-fall	kiʁípxur ~ keʁípxur	kiʁwirxura ~ keʁwipxura	kiʁipxus ~ keʁibxus	kiʁípxʷa ~ keʁibxʷa	kiʁmewrɨx ~ keʁmewrux
v67		kiwčʼur	SURF-move	kiwčʼur	kiwčʼura	küwčʼusɨ	kíwičʼa kíwič | kíjič | kíwičʼawa	kümewürčʼ . kimebč’ к человеку kümewič kimewič
v68		kiwčir	SURF-hold	kiwčir	kipčira	kiwčes	kiwča ~ kiwč	kimewič
v69		kiwikɨr	PV-be_similar	kiwikɨr	kiwirkara	kiwikas	kiwika	kimewrik
v70		kiwir	SURF-let	kiwir	kiwiχara ~ kiwχara	kiwis	kiwij ~ kiwija	kimawɨχ
v71		kiwɨr	SURF-give	kiwɨr	kiwɨlcʼara	kiwɨs	kiwija	kimowlɨcʼ
v72		kiwɨχɨr	hang	kiwɨχɨr	kiwɨrχara	kiwɨχas	kiwɨχa	kimelwɨx
v73		kiwxir	SURF-put	kiwxir	kiwilxera	kiwxis	kiwxe	kimewrix
v74		kiˁwχɨˁr	SURF-hit2	kiˁwχɨˁr	kiˁwɨˁrχara	kiˁwχɨˁs	kiˁwχ	kimaˁrwɨˁχ
v75		kʲaʁwɨʔɨr	SURF-OUT-do	kʲaʁwɨʔɨr	kʲaʁwaʔara	kʲaʁwaʔas	kʲaʁwaʔ	kʲaʁmawaʔ
v76		kʲaʁowʁur	waste	kʲaʁowʁur	kʲaʁʷabʁura ~ kʲaʁʷobʁura	kʲoʁowʁus	kʲaʁowʁa	kaʁmabʁ
v77		kʲeqliwir	SURF-RE-OUT-let	kʲeqliwir	kʲaqlɨwɨχara	kʲeqliwis	kʲeqliwi	kʲaqlamawɨχ
v78		kʲoʁubqʼura	PV-tear_off	kʲoʁubqʼura	kʲoʁwulqʼara	kʲoʁubqʼas	kʲoʁubqʼa	kʲoʁmowlɨqʼ
v79		lačʼipχɨr	slip	lačʼipχɨr	lačʼwilχara	lačʼipχas	lacʼipχa	lačʼmelʲwiχ
v80		labtʼur	PV-finish	labtʼur	lawurtʼura	lapʼtʼus	laptʼa	lamalwutʼ
v81		lawɨr	UP-do	lawɨr	lawara	lawas	lawaʔ ~ lawa	lamawaʔ ~ lamawaʔa
v82		lawɨrkɨr ~ lawkɨr ~ lówkɨr	PV-turn_around1	lawɨrkɨr ~ lawkɨr ~ lówkɨr	lawɨrkara ~ lowɨrkara	lawɨrkas ~ lówkas	lawɨrka	lamawrɨk
v83		láwɨrsɨr	PV-boil	láwɨrsɨr	láwɨrsara	láwɨrsas	Iáwɨrsa	lamówɨrs ~ lamówrɨs
v84		lawkɨr ~ lówkɨr	PV-turn_around2	lawkɨr ~ lówkɨr	lówɨrkɨra	lápkas ~ lówkas	lówɨrka	lamówɨrk
v85		léwɨχɨˁr	PV-plow	léwɨχɨˁr	léwɨrχaˁra	léwɨχaˁsɨ	léwχaˁ	lamáwrɨˁχ
v86		lépʼir	UP-pull	lépʼir	léwilera	lépʼes	lépʼe	leméwli
v87		lewigɨr ~ lewɨgɨr	PV-sew	lewigɨr ~ lewɨgɨr	léwirgara	léwirgas	léwiga	leméwrɨg
v88		léwčʼur	UP-move	léwčʼur	lébčʼura ~ lʲoˁwʁura	léwčʼus	léwičʼa	laˁmaˁwuʁʷ ~ lemewrüčʼ
v89		léwir	UP-let	léwir	lówχara	léwis	léwija	lamáwɨχ
v90		léwiqʼɨr	UP-reach	léwiqʼɨr	léwirqʼara	léwiqʼas	léwɨqʼa	leméwriqʼ
v91		léwšur	PV-take	léwšur	lépčura	léwšus	léwiša ~ léwša	lemebčʷ ~ lemebč
v92		lípxur	UP-fall	lípxur	líwirxura	lípxus	lípxʷa	limépxʷ
v93		liwšír	reap	liwšír	šiwílšera	šílšesɨ	šiwílše	šiméwliš
v94		lípq’ɨra	PV-ferment	lípq’ɨra	líwirq’ara ~ líwilqʼara	lípq’as	lípq’a	liméwriq’
v95		liwír	eat	liwír	wiʔílera	wiʔíles	wiʔíle	méwliʔ
v96		líwkʼur	PV-burn_light	líwkʼur	líwirkʼʷara	líwikʼʷas	líwkʼʷa	liméwrikʼʷ ~ limérwukʼ
v97		líwxir	UP-put	líwxir	líwilxera ~ líwirxera	líwxis	líwxʲa	liméwrixʲ ~ limérwixʲ
v98		lɨwxɨ́r	graze	lɨwxɨ́r	wɨ́xara	wɨ́xas	wɨ́xa	máwlɨx ~ málwɨx
v99		lówcʼur	UP-fill	lówcʼur	lówɨrcʼɨra	lówcʼas ~ lówcʼus	lówcʼa	lomórwicʼ
v100		lówčir	UP-hold	lówčir	láwɨrčira ~ lápčira ~ lówɨlčera	lówčis	lówče	lamápč
v101		lówɢur	UP-look	lówɢur	lówɨrɢara	lówɢas	lówɢa	lomówrɨɢ
v102		lóˁwʁur	UP-shift	lóˁwʁur	NO DATA	lečʼus	NO DATA	NO DATA
v103		lúptʼur	PV-wake_up	lúptʼur	luwúrtʼara	lúptʼas	lúptʼa	lumówrutʼ
v104		luʁúr (4)	rain.v	luʁúr (4)	huʁára (4)	húʁas (4)	húʁa (4)	máluʁ (4)
v105		lúwkur	PV-lay_down	lúwkur	luwúrkara	lúwkas	lúwka	lumowruk ~ lumáwluk
v106		lúwzur	stand1	lúwzur	luwuzara ~ lúwzara	lúwzas	lúwza	lumáwuz ~ lumárwuz
v107		méwič’ (PROH)	go_proh	NO FORM	NO FORM	NO FORM	NO FORM	méwič’
v108		oqúwgur	PV-RE-find	oqúwgur	eqwírgara	oqúwgas	oqúwga	oqmólwug
v109		ówcʼur	INSIDE-fill	ówcʼur	awrácʼɨra ~ ówɨrcʼara	ówcʼus	ówcʼa	amówrɨcʼ
v110		waqʼálqʼɨr	tremble	waqʼálqʼɨr	waqʼálqʼara	waqʼálqʼas	waqʼálqʼa	máwɨlqʼ
v111		q’úˁbk’ir	bend	q’úˁbk’ir	кьуӀврикӀера	кьу́ӀбкӀис	кьу́ӀбкӀе	кьуӀме́вликӀ
